Kennewick.O3,Kennewick.OZONE_AIRPACT4,WRF_4km_BCAA.Surface_pres_Pa,WRF_4km_BCAA.PBL_m,WRF_4km_BCAA.T_K,WRF_4km_BCAA.windspeed_m_per_s,WRF_4km_BCAA.WindDir_deg,WRF_4km_BCAA.RH_pct,Wildfire_smoke_caused_excess_ozone_YN,date
34.0,49.8,98616.12,71.22806,292.33142000000004,3.2584605,198.33223,31.3,N,2017-05-09 21:00:00
35.0,51.4,98598.12,67.32753000000001,291.86258,3.6126940000000003,191.39481999999998,30.5,N,2017-05-09 22:00:00
33.0,52.4,98598.016,68.84019,291.5397,3.8500001000000004,191.23631,30.2,N,2017-05-09 23:00:00
34.0,50.5,98680.63,20.467964000000002,290.3371,1.3117957,143.1606,44.8,N,2017-05-10 00:00:00
33.0,31.4,98649.61,80.16486,288.73386,3.5622575,184.45146,49.3,N,2017-05-10 01:00:00
16.0,27.7,98648.74,70.81181,287.98715,2.9872037999999996,199.29506,56.4,N,2017-05-10 02:00:00
20.0,29.9,98689.35,20.175644000000002,286.27045,1.174431,256.61865,63.2,N,2017-05-10 03:00:00
12.0,35.6,98701.055,62.607548,285.73895,2.7206068,209.90161,65.7,N,2017-05-10 04:00:00
12.0,37.3,98718.69,77.685295,285.57236,3.5620508,211.77443,68.6,N,2017-05-10 05:00:00
15.0,36.3,98727.85,224.43059,288.7357,2.0533323,253.5872,60.4,N,2017-05-10 06:00:00
19.0,35.9,98748.87,207.47633000000002,289.58337,1.2842071000000002,339.19113,56.9,N,2017-05-10 07:00:00
28.0,39.7,98731.34,430.03812,291.35086,1.5265123,3.079132,51.1,N,2017-05-10 08:00:00
34.0,43.2,98706.01,491.31314000000003,293.15466000000004,1.7281221000000002,11.031586,46.2,N,2017-05-10 09:00:00
42.0,48.1,98667.805,650.4114400000001,295.22017999999997,2.0111613,26.434722999999998,40.6,N,2017-05-10 10:00:00
54.0,54.3,98605.48,1036.3218,297.1252,2.3904965,35.850006,35.3,N,2017-05-10 11:00:00
62.0,60.2,98542.38,1321.8214,298.5266,2.6437937999999996,36.996796,31.1,N,2017-05-10 12:00:00
64.0,64.6,98447.55,1363.9707,299.54514,2.6707466,33.100037,28.4,N,2017-05-10 13:00:00
64.0,68.0,98365.92,1309.4529,300.3951,2.5496502,33.35092,26.4,N,2017-05-10 14:00:00
64.0,70.4,98288.67,1382.174,301.02692,2.3631008,34.072784000000006,24.9,N,2017-05-10 15:00:00
64.0,71.8,98223.43,1314.1689999999999,301.2653,1.6978171000000002,37.314728,24.1,N,2017-05-10 16:00:00
62.0,70.9,98197.82,1101.9159,301.25162,1.2012715,36.69931,23.8,N,2017-05-10 17:00:00
55.0,60.9,98181.24,545.53534,299.367,0.88601667,14.745331,31.9,N,2017-05-10 18:00:00
35.0,51.7,98197.26,21.047905,298.7783,1.1925652,76.033875,29.6,N,2017-05-10 19:00:00
